slug,payer,category,source_url,pdf_path,compatibility_class,inspect_supported,selected_input_fields,fill_exit_code,applied_fields,skipped_fields,unused_input_keys,status,message
aetna-il-rx-prior-auth,Aetna,pharmacy,https://www.aetna.com/content/dam/aetna/pdfs/health-care-professionals/GR-69025-7-IL-Approved-Remediation-IL-DOI-Form-PA-Rx-Drug-Form.pdf,aetna-il-rx-prior-auth.pdf,roundtrip-fill-ok,True,13,0,13,0,0,roundtrip-fill-ok,
aetna-ma-imaging-prior-auth,Aetna,medical,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/healthcare-professionals/documents-forms/ma-ct-cta-mri-mra-prior-auth-form.pdf,aetna-ma-imaging-prior-auth.pdf,roundtrip-fill-ok,True,11,0,11,0,0,roundtrip-fill-ok,
aetna-nh-rx-prior-auth,Aetna,pharmacy,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/healthcare-professionals/documents-forms/nh-prescription-drug-prior-authorization-form.pdf,aetna-nh-rx-prior-auth.pdf,roundtrip-fill-ok,True,10,0,10,0,0,roundtrip-fill-ok,
anthem-ny-medical-injectables,Anthem,medical,https://providers.anthem.com/docs/gpp/NY_ABC_CAID_MedicalInjectablesPAForm.pdf,anthem-ny-medical-injectables.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
anthem-va-pharmacy-prior-auth,Anthem,pharmacy,https://providers.anthem.com/docs/gpp/VA_CAID_PriorAuthorizationForm.pdf,anthem-va-pharmacy-prior-auth.pdf,roundtrip-fill-ok,True,10,0,10,0,0,roundtrip-fill-ok,
bcbsil-bcchp-uniform-pa,BCBSIL,pharmacy,https://www.bcbsil.com/docs/provider/il/education/forms/il-bcchp-uniform-pa-form.pdf,bcbsil-bcchp-uniform-pa.pdf,roundtrip-fill-ok,True,12,0,12,0,0,roundtrip-fill-ok,
bcbsks-prior-authorization-request,BCBSKS,medical,https://www.bcbsks.com/documents/prior-authorization-request-form-15-18,bcbsks-prior-authorization-request.pdf,roundtrip-fill-ok,True,10,0,10,0,0,roundtrip-fill-ok,
bcbsla-general-prior-auth,BCBSLA,medical,https://providers.bcbsla.com/-/media/Files/Providers/Blue%20Advantage%20Resources/General_Prior_Authorization_Form%20pdf.pdf,bcbsla-general-prior-auth.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
bcbsri-cymbalta-pa-guide,BCBSRI,pharmacy,https://www.bcbsri.com/sites/default/files/forms/PAGuideCymbalta_2.pdf,bcbsri-cymbalta-pa-guide.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
bcbstx-health-services-standard-pa,BCBSTX,medical,https://www.bcbstx.com/docs/provider/tx/provider-medicaid/tx-standard-pa-request-form-nofr001.pdf,bcbstx-health-services-standard-pa.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
bcbstx-rx-standard-pa,BCBSTX,pharmacy,https://www.bcbstx.com/medicaid/pdf/medicaid-rx-pa-request-form-tx.pdf,bcbstx-rx-standard-pa.pdf,roundtrip-fill-ok,True,10,0,10,0,0,roundtrip-fill-ok,
caremark-florida-prior-auth,Caremark,pharmacy,https://www.caremark.com/content/dam/enterprise/caremark/pdfs/pa-state-requirements/Florida_Prior_Authorization_Form.pdf,caremark-florida-prior-auth.pdf,unsupported,False,,,,,,inspect-unsupported,Form exists but contains no fields.
caremark-minnesota-state-pa,Caremark,pharmacy,https://www.caremark.com/content/dam/enterprise/caremark/pdfs/pa-state-requirements/Minnesota_State_PA_Request_Form_Commercial.pdf,caremark-minnesota-state-pa.pdf,unsupported,False,,,,,,inspect-unsupported,Form exists but contains no fields.
cigna-arizona-prior-auth,Cigna,medical,https://static.cigna.com/assets/chcp/pdf/resourceLibrary/prescription/stateSpecific/ArizonaGeneralMedPriorAuth.pdf,cigna-arizona-prior-auth.pdf,unsupported,False,,,,,,inspect-unsupported,Form exists but contains no fields.
cigna-general-med-prior-auth,Cigna,medical,https://static.cigna.com/assets/chcp/pdf/resourceLibrary/prescription/GeneralMedPriorAuth.pdf,cigna-general-med-prior-auth.pdf,unsupported,False,,,,,,inspect-unsupported,Form exists but contains no fields.
express-scripts-benefit-coverage-request,ExpressScripts,pharmacy,https://www.express-scripts.com/pdf/forms/Benefit-Coverage-Request-Form.pdf,express-scripts-benefit-coverage-request.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
humana-state-specific-prior-auth,Humana,medical,https://assets.humana.com/is/content/humana/State-specific%20prior%20authorization%20request%20formpdf,humana-state-specific-prior-auth.pdf,unsupported,False,,,,,,inspect-unsupported,Form exists but contains no fields.
molina-tx-standard-pa-form,Molina,medical,https://www.molinahealthcare.com/providers/tx/medicaid/forms/~/media/Molina/PublicWebsite/PDF/providers/tx/medicaid/forms/standard-pa-form-hcs-tx.pdf,molina-tx-standard-pa-form.pdf,roundtrip-fill-ok,True,10,0,10,0,0,roundtrip-fill-ok,
optumrx-general-prior-auth,OptumRx,pharmacy,https://contenthub-aem.optumrx.com/content/dam/contenthub/onboarding/assets/documents/General_CMS-Comm_0.pdf,optumrx-general-prior-auth.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
uhc-co-pharmacy-pa,UnitedHealthcare,pharmacy,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/drugs-pharmacy/CO-COMM-Prescription-PA-Form.pdf,uhc-co-pharmacy-pa.pdf,unsupported,False,,,,,,inspect-unsupported,PDF does not contain a form.
uhc-tx-commercial-prior-auth,UnitedHealthcare,medical,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/commercial/TX-Commercial-Prior-Author-Form.pdf,uhc-tx-commercial-prior-auth.pdf,roundtrip-fill-ok,True,10,0,10,0,0,roundtrip-fill-ok,
